[DEBUG] 2020-04-19 13:09:46.295 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-04-19 13:09:46.298 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-04-19 13:09:46.299 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-04-19 13:09:46.332 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-04-19 13:09:46.333 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-04-19 13:09:46.426 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-04-19 13:09:46.427 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-04-19 13:09:46.436 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-04-19 13:09:46.619 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-04-19 13:09:46.631 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-04-19 13:09:46.631 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[DEBUG] 2020-04-19 13:13:19.612 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@706cb08
[DEBUG] 2020-04-19 13:13:19.612 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@706cb08
[DEBUG] 2020-04-19 13:13:19.612 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@3901f6af
[DEBUG] 2020-04-19 13:13:19.612 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@602ae7b6
[DEBUG] 2020-04-19 13:13:19.612 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@10cd6753
[DEBUG] 2020-04-19 13:13:19.612 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@71ad3d8a
[DEBUG] 2020-04-19 13:13:19.612 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@47af099e
[DEBUG] 2020-04-19 13:13:19.612 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@700f518a
[DEBUG] 2020-04-19 13:13:19.612 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@b835727
[DEBUG] 2020-04-19 13:13:19.612 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@13da7ab0
[DEBUG] 2020-04-19 13:13:19.613 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2020-04-19 13:13:19.613 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[DEBUG] 2020-04-19 13:13:19.613 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2020-04-19 13:13:19.613 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2020-04-19 13:13:19.613 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[DEBUG] 2020-04-19 13:13:19.613 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[DEBUG] 2020-04-19 13:13:19.613 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[DEBUG] 2020-04-19 13:13:19.613 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2020-04-19 13:13:19.613 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[DEBUG] 2020-04-19 13:13:19.613 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[DEBUG] 2020-04-19 13:13:19.613 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[DEBUG] 2020-04-19 13:13:19.613 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[DEBUG] 2020-04-19 13:13:19.613 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2020-04-19 13:13:19.613 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
[INFO ] 2020-04-19 13:13:19.613 [main] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.cj.jdbc.Driver at URL: jdbc:mysql://localhost:3306/EuchreLeague
[INFO ] 2020-04-19 13:13:19.613 [main] C3P0ConnectionProvider - HHH10001001: Connection properties: {password=****, user=root}
[INFO ] 2020-04-19 13:13:19.613 [main] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2020-04-19 13:13:19.682 [main] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
[WARN ] 2020-04-19 13:13:49.934 [main] JdbcEnvironmentInitiator - HHH000342: Could not obtain connection to query metadata : Connections could not be acquired from the underlying database!
[DEBUG] 2020-04-19 13:13:49.935 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-04-19 13:13:49.935 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-04-19 13:13:49.935 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[DEBUG] 2020-04-19 13:13:49.942 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-04-19 13:13:49.942 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-04-19 13:13:49.943 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-04-19 13:13:49.960 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-04-19 13:13:49.961 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-04-19 13:13:49.961 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5e840abf
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5e840abf
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@5e840abf
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@31e32ea2
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@5ca1f591
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@33abde31
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@bb095
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@bb095
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@bb095
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@5f14a673
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@5f14a673
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@5f14a673
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@7a799159
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@7a799159
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@7a799159
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@77ee25f1
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@77ee25f1
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@77ee25f1
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@6b3871d6
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@6b3871d6
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@6b3871d6
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7578e06a
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7578e06a
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@7578e06a
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6050462a
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6050462a
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@6050462a
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@34523d46
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@34523d46
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@3af356f
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@3af356f
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@41aaedaa
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@41aaedaa
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@d1a10ac
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@2cfbeac4
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@3005db4a
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@3005db4a
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@3013909b
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@3013909b
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@21325036
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@21325036
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@3df978b9
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@3df978b9
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@4cd1c1dc
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@4cd1c1dc
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@5b022357
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@5b022357
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@56ba8773
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@56ba8773
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@6f952d6c
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@6f952d6c
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@dffa30b
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@dffa30b
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@76075d65
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@76075d65
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@4455f57d
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@4455f57d
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@74fe5966
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@74fe5966
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@74fe5966
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@4c27d39d
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@629f066f
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@629f066f
[DEBUG] 2020-04-19 13:13:49.961 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@629f066f
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@3a627c80
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@989da1
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@989da1
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@441cc260
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@441cc260
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@55b8dbda
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@55b8dbda
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@5b22b970
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@5b22b970
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@748fe51d
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@748fe51d
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@4158debd
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@660591fb
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@660591fb
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@660591fb
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@5eb97ced
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@5eb97ced
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@5eb97ced
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@2bcec6a6
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@765df79d
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@4cdd2c73
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@4cdd2c73
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@4cdd2c73
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@37fdfb05
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@37fdfb05
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@37fdfb05
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@61799544
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@476ec9d0
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@4e628b52
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@4e628b52
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@4f186450
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@1f443fae
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@1f443fae
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@6093d508
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@6093d508
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@1bfe3203
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@23e44287
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@7d755813
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@706cb08
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@706cb08
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@55a88417
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@18acfe88
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@8a2a6a
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@772861aa
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@6631cb64
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@19962194
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@481e91b6
[DEBUG] 2020-04-19 13:13:49.962 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@7c8f9c2e
[DEBUG] 2020-04-19 13:13:49.963 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2020-04-19 13:13:49.963 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[DEBUG] 2020-04-19 13:13:49.963 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2020-04-19 13:13:49.963 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2020-04-19 13:13:49.963 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[DEBUG] 2020-04-19 13:13:49.963 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[DEBUG] 2020-04-19 13:13:49.963 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[DEBUG] 2020-04-19 13:13:49.963 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2020-04-19 13:13:49.963 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[DEBUG] 2020-04-19 13:13:49.963 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[DEBUG] 2020-04-19 13:13:49.963 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[DEBUG] 2020-04-19 13:13:49.963 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[DEBUG] 2020-04-19 13:13:49.963 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2020-04-19 13:13:49.963 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
[INFO ] 2020-04-19 13:13:49.963 [main] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.cj.jdbc.Driver at URL: jdbc:mysql://localhost:3306/EuchreLeague
[INFO ] 2020-04-19 13:13:49.963 [main] C3P0ConnectionProvider - HHH10001001: Connection properties: {password=****, user=root}
[INFO ] 2020-04-19 13:13:49.963 [main] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2020-04-19 13:13:49.978 [main] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
[WARN ] 2020-04-19 13:14:20.169 [main] JdbcEnvironmentInitiator - HHH000342: Could not obtain connection to query metadata : Connections could not be acquired from the underlying database!
[DEBUG] 2020-04-19 13:14:20.169 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-04-19 13:14:20.169 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-04-19 13:14:20.169 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[DEBUG] 2020-04-19 13:14:20.171 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-04-19 13:14:20.171 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-04-19 13:14:20.172 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
